doc_id,stock_code,stock_name,report_year,has_cash_dividend,cash_dividend_per_10_shares,parent_net_profit_raw,parent_net_profit_unit,parent_net_profit_cny,operating_cash_flow_raw,operating_cash_flow_unit,operating_cash_flow_cny,liquidity_risk_label,risk_keywords,consistency_score,consistency_reason,unit_source,unit_confidence,unit_note
1212964021,600048,保利发展,2021,True,5.8,2738783.66,wan_yuan,27387836600.0,1055121.72,wan_yuan,10551217200.0,low,融资;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence,单位：万元,high,unit found near 主要会计数据
1213249284,002244,滨江集团,2021,True,2.26,3027327039.62,yuan,3027327039.62,839419095.72,yuan,839419095.72,high,融资;债务;销售回款;行业下行;市场下行;现金流,1,存在现金分红且风险披露较强，需要人工复核是否存在不一致,单位：元,high,unit found near 主要会计数据
1212942161,600266,城建发展,2021,True,1.0,641255003.77,yuan,641255003.77,3091898686.79,yuan,3091898686.79,medium,融资;债务;销售回款,2,初步未发现强烈不一致，但仍需人工复核 evidence,单位：元,high,unit found near 主要会计数据
1212687124,600649,城投控股,2021,True,1.1,911542960.62,yuan,911542960.62,-12678714607.79,yuan,-12678714607.79,low,融资;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence,单位：元,high,unit found near 主要会计数据
1213255431,600094,大名城,2021,,,-412344720.6,yuan,-412344720.6,6533716477.87,yuan,6533716477.87,medium,融资;债务;行业下行;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence,单位：元,high,unit found near 主要会计数据
1212886659,000031,大悦城,2021,False,0.0,107510183.02,yuan,107510183.02,-8464132339.15,yuan,-8464132339.15,medium,融资;债务;销售回款,3,不分红或低分红与较高流动性/行业风险披露基本一致,单位：元,high,unit found near 主要会计数据
1212974325,600658,电子城,2021,True,0.15,31574974.79,yuan,31574974.79,2479662143.17,yuan,2479662143.17,low,融资,2,初步未发现强烈不一致，但仍需人工复核 evidence,单位：元,high,unit found near 主要会计数据
1212857761,600325,华发股份,2021,True,4.6,3194749145.48,yuan,3194749145.48,36060713136.64,yuan,36060713136.64,high,流动性;融资;债务;销售回款;现金流,1,存在现金分红且风险披露较强，需要人工复核是否存在不一致,单位：元,high,unit found near 主要会计数据
1213001265,000897,津滨发展,2021,False,0.0,488496565.4,yuan,488496565.4,1269666726.53,yuan,1269666726.53,medium,流动性;融资;债务,3,不分红或低分红与较高流动性/行业风险披露基本一致,单位：元,high,unit found near 主要会计数据
1212897448,600683,京投发展,2021,True,1.3,328623564.48,yuan,328623564.48,7538629978.76,yuan,7538629978.76,medium,融资;债务;销售回款;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence,单位：元,high,unit found near 主要会计数据
